Bus ID,Trip ID,Latitude,Longitude,Speed,Heading,Accuracy,Timestamp,Status
"68e2018b0a047400d5606664","68e2018b0a047400d560667c",6.9340900036277215,79.84326392004434,53,99,15,"Sun Oct 05 2025 09:36:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d5606664","68e2018b0a047400d560667c",7.000333144094582,79.95230140571688,45,97,17,"Sun Oct 05 2025 09:46:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d5606664","68e2018b0a047400d560667c",7.091188026477523,80.00012648686153,72,108,12,"Sun Oct 05 2025 09:56:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d5606664","68e2018b0a047400d560667c",7.1656984121966065,80.11884916149786,55,109,6,"Sun Oct 05 2025 10:06:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d5606664","68e2018b0a047400d560667c",7.2637388972737345,80.1984488882295,68,106,15,"Sun Oct 05 2025 10:16:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d5606664","68e2018b0a047400d560667c",7.251955976327397,80.34400995245944,47,100,6,"Sun Oct 05 2025 10:26:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d5606664","68e2018b0a047400d560667c",7.253417137396217,80.44690066505525,55,105,13,"Sun Oct 05 2025 10:36:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d5606664","68e2018b0a047400d560667c",7.255391589122456,80.5203303271316,77,106,7,"Sun Oct 05 2025 10:46:36 GMT+0530 (India Standard Time)","stopped"
"68e2018b0a047400d560666a","68e2018b0a047400d560667d",6.934020048253757,79.8423732300905,47,109,10,"Sun Oct 05 2025 09:46:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560666a","68e2018b0a047400d560667d",7.000617060207875,79.95175084775045,48,107,6,"Sun Oct 05 2025 09:56:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560666a","68e2018b0a047400d560667d",7.091260447581845,80.00028527832602,49,108,8,"Sun Oct 05 2025 10:06:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560666a","68e2018b0a047400d560667d",7.165358154002755,80.11886975685235,57,108,18,"Sun Oct 05 2025 10:16:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560666a","68e2018b0a047400d560667d",7.263906640786943,80.19845443340574,52,106,10,"Sun Oct 05 2025 10:26:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560666a","68e2018b0a047400d560667d",7.252014578953349,80.34386095457927,53,105,19,"Sun Oct 05 2025 10:36:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560666a","68e2018b0a047400d560667d",7.2527727098334305,80.44632026152256,48,104,16,"Sun Oct 05 2025 10:46:36 GMT+0530 (India Standard Time)","stopped"
"68e2018b0a047400d560665f","68e2018b0a047400d5606681",6.934172117627994,79.84323784465403,78,108,9,"Sun Oct 05 2025 09:36:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560665f","68e2018b0a047400d5606681",6.836723928940684,79.86296373945581,72,94,17,"Sun Oct 05 2025 09:46:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560665f","68e2018b0a047400d5606681",6.772388921078549,79.88161490132894,40,109,10,"Sun Oct 05 2025 09:56:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560665f","68e2018b0a047400d5606681",6.71343737857417,79.90298466716926,72,104,8,"Sun Oct 05 2025 10:06:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560665f","68e2018b0a047400d5606681",6.583540090352831,79.96086149680397,68,97,16,"Sun Oct 05 2025 10:16:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560665f","68e2018b0a047400d5606681",6.425512420461805,79.99935974967505,55,92,11,"Sun Oct 05 2025 10:26:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560665f","68e2018b0a047400d5606681",6.141191823250985,80.10222161933262,62,107,18,"Sun Oct 05 2025 10:36:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d560665f","68e2018b0a047400d5606681",6.053778238033121,80.2208040208106,57,107,8,"Sun Oct 05 2025 10:46:36 GMT+0530 (India Standard Time)","stopped"
"68e2018b0a047400d5606665","68e2018b0a047400d5606682",6.934571145381731,79.84244576275536,70,97,18,"Sun Oct 05 2025 10:06:36 GMT+0530 (India Standard Time)","moving"
"68e2018b0a047400d5606665","68e2018b0a047400d5606682",6.836950399098517,79.86343039798001,51,95,12,"Sun Oct 05 2025 10:16:36 GMT+0530 (India Standard Time)","moving"
